source_url,ta_location_id,restaurant_name,rating,total_review,address,street,house_number,postal_code,city,latitude,longitude,has_coordinates,photo_count,price_band,price_tier_level,cuisines,has_rating,has_review_count,low_review,has_address,has_reviews,has_hours,has_phone,has_website,has_email,website,phone,email,flags
https://www.tripadvisor.it/Restaurant_Review-g187849-d10024118-Reviews-Niro_Meet_Bar-Milan_Lombardy.html,10024118,Niro Meet Bar,3.0,74,"Via Nirone 7, 20123 Milano Italia",Via Nirone,7,20123,Milano,45.4650689,9.1782027,1,22,€,1,['Italiana'],1,1,0,1,1,1,1,1,1,facebook.com/niromeetbar,+390289092743,info@niromeetbar.it,[]
https://www.tripadvisor.it/Restaurant_Review-g187849-d10026643-Reviews-Pizzaclub_No_Limits-Milan_Lombardy.html,10026643,Pizzaclub No Limits Milano Imbonati,4.0,521,"Via Carlo Imbonati 20, 20159 Milano Italia",Via Carlo Imbonati,20,20159,Milano,45.5009618,9.1828788,1,167,€,1,['Pizza'],1,1,0,1,1,1,1,1,0,pizzaclubnolimits.com/index.php?i=home,+393442382269,,[]
https://www.tripadvisor.it/Restaurant_Review-g187849-d10027300-Reviews-La_Taverna_dei_Terroni-Milan_Lombardy.html,10027300,La Taverna dei Terroni,3.7,378,"Via Pietro Crespi 18 Mercato Comunale, 20127 Milano Italia",Via Pietro Crespi,18,20127,Milano,,,0,207,€,1,"['Italiana', 'Pesce']",1,1,0,1,1,1,1,1,0,facebook.com/1125991107412922,+39335404821,,['missing_coordinates']
https://www.tripadvisor.it/Restaurant_Review-g187849-d10034030-Reviews-Stella_d_Asia-Milan_Lombardy.html,10034030,Stella d'Asia,4.2,484,"Viale Brenta, 14 Vicino alla metropolitana brenta, 20139 Milano Italia",Viale Brenta,14,20139,Milano,,,0,638,€€-€€€,2,"['Italiana', 'Cinese']",1,1,0,1,1,1,1,1,1,ristorantestelladasia.com,+3902538541,valentinajiang@icloud.com,['missing_coordinates']
https://www.tripadvisor.it/Restaurant_Review-g187849-d10035419-Reviews-Dvb_DOLCEVITA_BISTROT-Milan_Lombardy.html,10035419,dvb DOLCEVITA BISTROT,4.4,41,"Via Alserio, 28 Angolo Via Alserio, 20159 Milano Italia",Via Alserio,28,20159,Milano,,,0,23,€€-€€€,2,"['Italiana', 'Caffetteria']",1,1,0,1,1,1,1,1,1,dolcevitabistrot.it,+390239525210,dolcevitabistrot16@gmail.com,['missing_coordinates']
https://www.tripadvisor.it/Restaurant_Review-g187849-d10037015-Reviews-A_Vucciria-Milan_Lombardy.html,10037015,A'Vucciria NAVIGLI,3.2,517,"Viale Gorizia, 32/A, 20123 Milano Italia",Viale Gorizia,32/A,20123,Milano,45.4548614,9.1728536,1,227,€,1,"['Italiana', 'Fast food']",1,1,0,1,1,1,1,1,1,a-vucciria.it,+393383076654,info@a-vucciria.it,[]
https://www.tripadvisor.it/Restaurant_Review-g187849-d10040703-Reviews-Signorvino_Milano_Duomo-Milan_Lombardy.html,10040703,Signorvino - Milano Duomo,3.4,1099,"Via Pattari 2 Piazza Del Duomo, 20122 Milano Italia",Via Pattari,2,20122,Milano,,,0,749,€€-€€€,2,"['Italiana', 'Mediterranea']",1,1,0,1,1,1,1,1,1,signorvino.com/it/negozi/milano/via_pattari_2/b002.html,+390289092539,milano.duomo@signorvino.it,['missing_coordinates']
https://www.tripadvisor.it/Restaurant_Review-g187849-d10045050-Reviews-Noyi_Restaurant_Japanese-Milan_Lombardy.html,10045050,NOYI Restaurant Japanese,4.0,83,"Via Lodovico il Moro 13 Via Valtellina 6, 20143 Milano Italia",Via Lodovico il Moro,13,20143,Milano,,,0,63,€€-€€€,2,"['Cinese', 'Giapponese']",1,1,0,1,1,1,1,1,1,facebook.com/NOYI-Restaurant-Japanese-1030369080369112,+390236558205,davide0904@virgilio.it,['missing_coordinates']
https://www.tripadvisor.it/Restaurant_Review-g187849-d10047238-Reviews-Gran_Caffe_Cavalieri-Milan_Lombardy.html,10047238,Gran Caffe Cavalieri,3.8,13,"Via Plinio 24 Along Via Bartolomeo Eustachi, 20146 Milano Italia",Via Plinio,24,20146,Milano,,,0,9,,,[],1,1,0,1,1,0,1,1,0,facebook.com/198739160140950,+393937467356,,"['no_hours', 'missing_coordinates']"
https://www.tripadvisor.it/Restaurant_Review-g187849-d10053255-Reviews-Sigiri-Milan_Lombardy.html,10053255,Sigiri,3.7,3,"Via Dei Transiti 26, 20127 Milano Italia",Via Dei Transiti,26,20127,Milano,45.4912404,9.2191599,1,9,,,['Asiatica'],1,1,1,1,1,0,1,1,0,facebook.com/Sigiri-fast-food-Ceylon-choice-943589885717429,+393249090290,,"['low_review', 'no_hours']"
https://www.tripadvisor.it/Restaurant_Review-g187849-d10053809-Reviews-Momo_Milano-Milan_Lombardy.html,10053809,Momo Milano,4.0,227,"Piazza Tito Minniti 5, 20159 Milano Italia",Piazza Tito Minniti,5,20159,Milano,45.4877879,9.1886667,1,116,€,1,['Italiana'],1,1,0,1,1,1,1,1,0,facebook.com/momofruitbar/?fref=nf,+390287087480,,[]
https://www.tripadvisor.it/Restaurant_Review-g187849-d10054235-Reviews-Muddica-Milan_Lombardy.html,10054235,Muddica,4.1,383,"Viale Monte Nero, 27, 20135 Milano Italia",Viale Monte Nero,27,20135,Milano,45.4560345,9.2045467,1,205,€€-€€€,2,"['Italiana', 'Pesce']",1,1,0,1,1,1,1,1,1,muddica.it,+390254090164,muddicasrl@legalmail.it,[]
https://www.tripadvisor.it/Restaurant_Review-g187849-d10057347-Reviews-Pizzeria_Che_Pizza-Milan_Lombardy.html,10057347,Pizzeria Che Pizza,4.1,10,"Via Mantova 5 Hotel Visconti Palace, 20135 Milano Italia",Via Mantova,5,20135,Milano,,,0,36,€,1,"['Italiana', 'Pizza']",1,1,0,1,1,1,1,1,0,pizzeriachepizza.it,+390238265482,,['missing_coordinates']
https://www.tripadvisor.it/Restaurant_Review-g187849-d10061020-Reviews-Mama_s_Cafe-Milan_Lombardy.html,10061020,Mama's Cafè,4.1,17,"Milano Via Francesco Gonin 56, 20147 Milano Italia",Milano Via Francesco Gonin,56,20147,Milano,,,0,11,€,1,['Italiana'],1,1,0,1,1,1,1,1,1,facebook.com/mamascafemilano,+390241270336,info@mamascafe-milano.com,['missing_coordinates']
https://www.tripadvisor.it/Restaurant_Review-g187849-d10063998-Reviews-Muzza-Milan_Lombardy.html,10063998,Muzza,3.5,15,"Viale Zara 149, 20125 Milano Italia",Viale Zara,149,20125,Milano,45.5011222,9.1972494,1,4,€,1,['Italiana'],1,1,0,1,1,0,1,0,0,,+3902606854,,['no_hours']
https://www.tripadvisor.it/Restaurant_Review-g187849-d1007308-Reviews-Il_Giardino_della_Birra-Milan_Lombardy.html,1007308,Il Giardino della Birra,2.9,455,"Via Ortica 10, 20134 Milano Italia",Via Ortica,10,20134,Milano,45.4714895,9.2454315,1,38,€€-€€€,2,['Italiana'],1,1,0,1,1,1,1,1,0,ilgiardinodellabirra.com,+390294159449,,[]
https://www.tripadvisor.it/Restaurant_Review-g187849-d1007525-Reviews-Gallura-Milan_Lombardy.html,1007525,Gallura,4.3,1016,"Via Vittoria Colonna 50, 20149 Milano Italia",Via Vittoria Colonna,50,20149,Milano,45.4706579,9.1538471,1,608,€€-€€€,2,"['Italiana', 'Pesce']",1,1,0,1,1,1,1,1,1,gallura1988.it/dove-siamo,+3902462896,info@gallura1988.it,[]
