_id,source,google_id,source_id,is_chain,chain_brand,chain_hardening,google_name,source_name,google_street,source_street,google_postal_code,source_postal_code,google_phone,source_phone,google_website,source_website,score,dmin,dmax,label,block_source,fast_path,name_sim,geo_dist_m,geo_score,street_sim,phone_match,website_match,postal_code_match,cuisine_jaccard,human_label
ChIJcYXU7x7HhkcRCZgGNcNH1cM:809812,thefork,ChIJcYXU7x7HhkcRCZgGNcNH1cM,809812,False,,[],Donna Caterina Ristorante,Donna Caterina,Via Emilio Morosini,Via Emilio Morosini,20135,20135,+393397781577,,donnacaterina.info,,1.0,0.4,0.85,MATCH,geo,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,MATCH
ChIJXa20nfnDhkcRi5MNdG_K2aU:50388,thefork,ChIJXa20nfnDhkcRi5MNdG_K2aU,50388,False,,[],El Brellin,El Brellin,Vicolo Privato Lavandai,Vicolo dei Lavandai Alzaia Naviglio Grande,20144,20144,+390258101351,,brellin.com,,0.9390878818649271,0.4,0.85,MATCH,geo,,1.0,41.90452966664545,0.9161909406667091,0.7894736842105263,0.0,0.0,1.0,0.0,MATCH
ChIJlw3osFTHhkcRG-MMB7YkBbs:754503,thefork,ChIJlw3osFTHhkcRG-MMB7YkBbs,754503,False,,[],Obicà Mozzarella Bar - Cusani,Obicà Mozzarella Bar - Cusani,Via Cusani,Via Cusani,20121,20121,+390249416936,,obica.com,,0.9821661039147035,0.4,0.85,MATCH,geo,,1.0,25.47699440756641,0.9490460111848672,1.0,0.0,0.0,1.0,0.0,MATCH
ChIJh-_V7WvDhkcRjGL8e63tj1w:833359,thefork,ChIJh-_V7WvDhkcRjGL8e63tj1w,833359,False,,[],Pizzium - Via Solari,Pizzium - Milano Via Solari,Via Andrea Solari,Via Andrea Solari,20144,20144,+390249366932,,pizzium.com/locali/milano-via-solari-41/?utm_source=google&utm_medium=GMBSitelink&utm_campaign=GMBSitelink_Milano_Solari41,,0.9813928397099757,0.4,0.85,MATCH,geo,,1.0,26.581657557177508,0.946836684885645,1.0,0.0,0.0,1.0,0.0,MATCH
ChIJARlKx8_HhkcRXb4s6y1Aues:544415,thefork,ChIJARlKx8_HhkcRXb4s6y1Aues,544415,False,,[],Trafilata Duomo,Trafilata Santa Tecla,Via Santa Tecla,Via Santa Tecla,20122,20122,+390236532694,,trafilata.it,,0.8646998326292916,0.4,0.85,MATCH,geo,,0.75,14.71452481529765,0.9705709503694047,1.0,0.0,0.0,1.0,0.0,MATCH
ChIJWViBstLGhkcRozhuPzWRJb8:314141,thefork,ChIJWViBstLGhkcRozhuPzWRJb8,314141,False,,[],Ristorante Catalana Milano,Catalana,Via Volturno,Via Volturno,20124,20124,+3902680218,,ristorantecatalanamilano.it,,1.0,0.4,0.85,MATCH,geo,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,MATCH
ChIJJaSrlM7DhkcRx9_EJVJjZnQ:835553,thefork,ChIJJaSrlM7DhkcRx9_EJVJjZnQ,835553,False,,[],Osteria Casale,Osteria Casale,Via Casale,Via Casale,20144,20144,+393459325814,,osteriacasalemilano.it,,0.9941745554248986,0.4,0.85,MATCH,geo,,1.0,8.322063678716214,0.9833558726425675,1.0,0.0,0.0,1.0,0.0,MATCH
ChIJaXQiiMrBhkcR1rKfcG821Z4:851921,thefork,ChIJaXQiiMrBhkcR1rKfcG821Z4,851921,False,,[],Il Tesoro Ristorante Pizzeria,Il Tesoro Ristorante Pizzeria,Via degli Ailanti,Via degli Ailanti,20156,20156,+390291448233,,social.quandoo.com/en/groups/il-tesoro-ristorante-pizzeria-109339,,0.9989631445374834,0.4,0.85,MATCH,geo,,1.0,1.4812220893094743,0.9970375558213811,1.0,0.0,0.0,1.0,0.0,MATCH
ChIJyYWbtAfEhkcRGYSGuE6DQy0:279063,thefork,ChIJyYWbtAfEhkcRGYSGuE6DQy0,279063,False,,[],Pane & Vino,Pane e Vino,Carrobbio,Largo Carrobbio,20123,20123,+390286451984,,panevinomilano.com/?utm_source=MyBusiness&utm_medium=SitoScheda,,0.9891315621461901,0.4,0.85,MATCH,geo,,1.0,15.526339791156841,0.9689473204176863,1.0,0.0,0.0,1.0,0.0,MATCH
ChIJ-9hbSnXBhkcRNrHaW2WJBzM:503465,thefork,ChIJ-9hbSnXBhkcRNrHaW2WJBzM,503465,False,,[],Picanha's Top Carne Milano,Picanha's Top Carne- Piazzale Lotto,Piazzale Lorenzo Lotto,Piazzale Lorenzo Lotto,20148,20148,+390239214408,,picanhastopcarne.com/lotto,,0.9157661451346,0.4,0.85,MATCH,geo,,0.8444444444444444,9.222967268031736,0.9815540654639365,1.0,0.0,0.0,1.0,0.0,MATCH
